question_id,tags_asociados,cant_tags_asociados,tiempo_seg,tiempo_hrs,tiempo_min,tiempo_dias
29319719,php,3,0,0.0,0.0,0.0
29319719,mysql,3,0,0.0,0.0,0.0
29319719,serialization,3,0,0.0,0.0,0.0
13230777,android,2,0,0.0,0.0,0.0
13230777,camera,2,0,0.0,0.0,0.0
21563976,c#,3,0,0.0,0.0,0.0
21563976,winforms,3,0,0.0,0.0,0.0
21563976,installation,3,0,0.0,0.0,0.0
22789693,c#,2,0,0.0,0.0,0.0
22789693,winforms,2,0,0.0,0.0,0.0
31109244,ios,5,0,0.0,0.0,0.0
31109244,objective-c,5,0,0.0,0.0,0.0
31109244,swift,5,0,0.0,0.0,0.0
31109244,3d,5,0,0.0,0.0,0.0
31109244,scenekit,5,0,0.0,0.0,0.0
26536974,c#,3,0,0.0,0.0,0.0
26536974,.net,3,0,0.0,0.0,0.0
26536974,obout,3,0,0.0,0.0,0.0
41273980,c++,4,0,0.0,0.0,0.0
41273980,mingw,4,0,0.0,0.0,0.0
41273980,linker-error,4,0,0.0,0.0,0.0
41273980,netbeans-8,4,0,0.0,0.0,0.0
42081503,php,4,0,0.0,0.0,0.0
42081503,python,4,0,0.0,0.0,0.0
42081503,api,4,0,0.0,0.0,0.0
42081503,screen-scraping,4,0,0.0,0.0,0.0
36992270,android,2,0,0.0,0.0,0.0
36992270,google-maps,2,0,0.0,0.0,0.0
41106069,ios,3,0,0.0,0.0,0.0
41106069,security,3,0,0.0,0.0,0.0
41106069,encryption,3,0,0.0,0.0,0.0
42600769,javascript,4,0,0.0,0.0,0.0
42600769,jquery,4,0,0.0,0.0,0.0
42600769,html,4,0,0.0,0.0,0.0
42600769,forms,4,0,0.0,0.0,0.0
36291313,android,5,0,0.0,0.0,0.0
36291313,android-studio,5,0,0.0,0.0,0.0
36291313,android-asynctask,5,0,0.0,0.0,0.0
36291313,facebook-android-sdk,5,0,0.0,0.0,0.0
36291313,facebook-authentication,5,0,0.0,0.0,0.0
6324800,java,2,0,0.0,0.0,0.0
6324800,methods,2,0,0.0,0.0,0.0
30397516,php,3,0,0.0,0.0,0.0
30397516,forms,3,0,0.0,0.0,0.0
30397516,codeigniter,3,0,0.0,0.0,0.0
40019896,xml,3,0,0.0,0.0,0.0
40019896,visual-studio-2013,3,0,0.0,0.0,0.0
40019896,tinyxml2,3,0,0.0,0.0,0.0
36268569,r,4,0,0.0,0.0,0.0
36268569,parallel-processing,4,0,0.0,0.0,0.0
36268569,parallel-foreach,4,0,0.0,0.0,0.0
36268569,doparallel,4,0,0.0,0.0,0.0
30505872,unit-testing,5,0,0.0,0.0,0.0
30505872,testing,5,0,0.0,0.0,0.0
30505872,eclipse-plugin,5,0,0.0,0.0,0.0
30505872,refactoring,5,0,0.0,0.0,0.0
